recordingId,trackId,initialFrame,finalFrame,numFrames,width,length,class
4,25,2028,2203,176,1.883530,4.669080,car
4,28,2028,2105,78,2.075390,4.891490,car
4,29,2028,2168,141,1.915640,4.405610,car
4,31,2028,2183,156,1.954690,4.396880,car
4,32,2094,2254,161,2.161220,5.092200,car
4,33,2141,2303,163,2.096990,5.482910,car
4,35,2356,2593,238,2.147100,4.946710,car
4,38,2451,2650,200,1.938290,4.603490,car
4,42,2712,2872,161,2.193060,5.195100,car
4,43,2747,2908,162,2.161750,5.145560,car
4,45,2847,3017,171,1.895390,4.459580,car
4,46,2937,3027,91,1.955830,4.474400,car
4,47,2997,3027,31,1.893960,4.326150,car
